REGION,SOVEREIGNT,SOV_A3,ADMIN,ADM0_A3,ISO_A3,Minority_Ed_Policy
Asia,Afghanistan,AFG,Afghanistan,AFG,AFG,0
Africa,Angola,AGO,Angola,AGO,AGO,1
Europe,Albania,ALB,Albania,ALB,ALB,1
Asia,United Arab Emirates,ARE,United Arab Emirates,ARE,ARE,0
South America,Argentina,ARG,Argentina,ARG,ARG,1
Europe,Armenia,ARM,Armenia,ARM,ARM,1
Antarctica,Antarctica,ATA,Antarctica,ATA,ATA,0
NA,France,FR1,French Southern and Antarctic Lands,ATF,ATF,1
Australia,Australia,AU1,Australia,AUS,AUS,0
Europe,Austria,AUT,Austria,AUT,AUT,0
Europe,Azerbaijan,AZE,Azerbaijan,AZE,AZE,1
Africa,Burundi,BDI,Burundi,BDI,BDI,0
Europe,Belgium,BEL,Belgium,BEL,BEL,0
Africa,Benin,BEN,Benin,BEN,BEN,1
Africa,Burkina Faso,BFA,Burkina Faso,BFA,BFA,1
Asia,Bangladesh,BGD,Bangladesh,BGD,BGD,0
Europe,Bulgaria,BGR,Bulgaria,BGR,BGR,0
South America,The Bahamas,BHS,The Bahamas,BHS,BHS,0
Europe,Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,BIH,BIH,1
Europe,Belarus,BLR,Belarus,BLR,BLR,1
South America,Belize,BLZ,Belize,BLZ,BLZ,0
South America,Bolivia,BOL,Bolivia,BOL,BOL,1
South America,Brazil,BRA,Brazil,BRA,BRA,1
Asia,Brunei,BRN,Brunei,BRN,BRN,0
Asia,Bhutan,BTN,Bhutan,BTN,BTN,0
Africa,Botswana,BWA,Botswana,BWA,BWA,0
Africa,Central African Republic,CAF,Central African Republic,CAF,CAF,0
North America,Canada,CAN,Canada,CAN,CAN,0
Europe,Switzerland,CHE,Switzerland,CHE,CHE,0
South America,Chile,CHL,Chile,CHL,CHL,1
Asia,China,CH1,China,CHN,CHN,1
Africa,Ivory Coast,CIV,Ivory Coast,CIV,CIV,0
Africa,Cameroon,CMR,Cameroon,CMR,CMR,0
Africa,Democratic Republic of the Congo,COD,Democratic Republic of the Congo,COD,COD,1
Africa,Republic of the Congo,COG,Republic of the Congo,COG,COG,0
South America,Colombia,COL,Colombia,COL,COL,1
South America,Costa Rica,CRI,Costa Rica,CRI,CRI,0
South America,Cuba,CUB,Cuba,CUB,CUB,0
Europe,Northern Cyprus,CYN,Northern Cyprus,CYN,CYN,0
Europe,Cyprus,CYP,Cyprus,CYP,CYP,0
Europe,Czech Republic,CZE,Czech Republic,CZE,CZE,1
Europe,Germany,DEU,Germany,DEU,DEU,0
Africa,Djibouti,DJI,Djibouti,DJI,DJI,1
Europe,Denmark,DN1,Denmark,DNK,DNK,0
South America,Dominican Republic,DOM,Dominican Republic,DOM,DOM,0
Africa,Algeria,DZA,Algeria,DZA,DZA,0
South America,Ecuador,ECU,Ecuador,ECU,ECU,1
Africa,Egypt,EGY,Egypt,EGY,EGY,0
Africa,Eritrea,ERI,Eritrea,ERI,ERI,NA
Europe,Spain,ESP,Spain,ESP,ESP,0
Europe,Estonia,EST,Estonia,EST,EST,1
Africa,Ethiopia,ETH,Ethiopia,ETH,ETH,0
Europe,Finland,FI1,Finland,FIN,FIN,1
Australia,Fiji,FJI,Fiji,FJI,FJI,0
South America,United Kingdom,GB1,Falkland Islands,FLK,FLK,0
Europe,France,FR1,France,FRA,FRA,1
Africa,Gabon,GAB,Gabon,GAB,GAB,0
Europe,United Kingdom,GB1,United Kingdom,GBR,GBR,0
Europe,Georgia,GEO,Georgia,GEO,GEO,1
Africa,Ghana,GHA,Ghana,GHA,GHA,0
Africa,Guinea,GIN,Guinea,GIN,GIN,NA
Africa,Gambia,GMB,Gambia,GMB,GMB,0
Africa,Guinea Bissau,GNB,Guinea Bissau,GNB,GNB,0
Africa,Equatorial Guinea,GNQ,Equatorial Guinea,GNQ,GNQ,0
Europe,Greece,GRC,Greece,GRC,GRC,0
Europe,Denmark,DN1,Greenland,GRL,GRL,0
South America,Guatemala,GTM,Guatemala,GTM,GTM,1
South America,Guyana,GUY,Guyana,GUY,GUY,0
South America,Honduras,HND,Honduras,HND,HND,1
Europe,Croatia,HRV,Croatia,HRV,HRV,1
South America,Haiti,HTI,Haiti,HTI,HTI,0
Europe,Hungary,HUN,Hungary,HUN,HUN,1
Asia,Indonesia,IDN,Indonesia,IDN,IDN,0
Asia,India,IND,India,IND,IND,1
Europe,Ireland,IRL,Ireland,IRL,IRL,0
Asia,Iran,IRN,Iran,IRN,IRN,0
Asia,Iraq,IRQ,Iraq,IRQ,IRQ,1
Europe,Iceland,ISL,Iceland,ISL,ISL,0
Europe,Israel,ISR,Israel,ISR,ISR,0
Europe,Italy,ITA,Italy,ITA,ITA,0
South America,Jamaica,JAM,Jamaica,JAM,JAM,0
Asia,Jordan,JOR,Jordan,JOR,JOR,0
Asia,Japan,JPN,Japan,JPN,JPN,0
Asia,Kazakhstan,KAZ,Kazakhstan,KAZ,KAZ,1
Africa,Kenya,KEN,Kenya,KEN,KEN,0
Asia,Kyrgyzstan,KGZ,Kyrgyzstan,KGZ,KGZ,1
Asia,Cambodia,KHM,Cambodia,KHM,KHM,0
Asia,South Korea,KOR,South Korea,KOR,KOR,0
Europe,Kosovo,KOS,Kosovo,KOS,KOS,1
Asia,Kuwait,KWT,Kuwait,KWT,KWT,0
Asia,Laos,LAO,Laos,LAO,LAO,0
Asia,Lebanon,LBN,Lebanon,LBN,LBN,0
Africa,Liberia,LBR,Liberia,LBR,LBR,0
Africa,Libya,LBY,Libya,LBY,LBY,0
Asia,Sri Lanka,LKA,Sri Lanka,LKA,LKA,0
Africa,Lesotho,LSO,Lesotho,LSO,LSO,0
Europe,Lithuania,LTU,Lithuania,LTU,LTU,1
Europe,Luxembourg,LUX,Luxembourg,LUX,LUX,0
Europe,Latvia,LVA,Latvia,LVA,LVA,0
Africa,Morocco,MAR,Morocco,MAR,MAR,0
Europe,Moldova,MDA,Moldova,MDA,MDA,1
Africa,Madagascar,MDG,Madagascar,MDG,MDG,0
South America,Mexico,MEX,Mexico,MEX,MEX,1
Europe,Macedonia,MKD,Macedonia,MKD,MKD,1
Africa,Mali,MLI,Mali,MLI,MLI,0
Asia,Myanmar,MMR,Myanmar,MMR,MMR,1
Europe,Montenegro,MNE,Montenegro,MNE,MNE,1
Asia,Mongolia,MNG,Mongolia,MNG,MNG,1
Africa,Mozambique,MOZ,Mozambique,MOZ,MOZ,0
Africa,Mauritania,MRT,Mauritania,MRT,MRT,0
Africa,Malawi,MWI,Malawi,MWI,MWI,0
Asia,Malaysia,MYS,Malaysia,MYS,MYS,0
Africa,Namibia,NAM,Namibia,NAM,NAM,1
Australia,France,FR1,New Caledonia,NCL,NCL,1
Africa,Niger,NER,Niger,NER,NER,0
Africa,Nigeria,NGA,Nigeria,NGA,NGA,0
South America,Nicaragua,NIC,Nicaragua,NIC,NIC,1
Europe,Netherlands,NL1,Netherlands,NLD,NLD,0
Europe,Norway,NOR,Norway,NOR,NOR,1
Asia,Nepal,NPL,Nepal,NPL,NPL,0
Australia,New Zealand,NZ1,New Zealand,NZL,NZL,0
Asia,Oman,OMN,Oman,OMN,OMN,0
Asia,Pakistan,PAK,Pakistan,PAK,PAK,0
South America,Panama,PAN,Panama,PAN,PAN,1
South America,Peru,PER,Peru,PER,PER,1
Asia,Philippines,PHL,Philippines,PHL,PHL,1
Australia,Papua New Guinea,PNG,Papua New Guinea,PNG,PNG,1
Europe,Poland,POL,Poland,POL,POL,1
South America,United States of America,US1,Puerto Rico,PRI,PRI,0
Asia,North Korea,PRK,North Korea,PRK,PRK,0
Europe,Portugal,PRT,Portugal,PRT,PRT,0
South America,Paraguay,PRY,Paraguay,PRY,PRY,1
Asia,Qatar,QAT,Qatar,QAT,QAT,0
Europe,Romania,ROU,Romania,ROU,ROU,1
Europe,Russia,RUS,Russia,RUS,RUS,1
Africa,Rwanda,RWA,Rwanda,RWA,RWA,0
Africa,Western Sahara,SAH,Western Sahara,SAH,SAH,0
Asia,Saudi Arabia,SAU,Saudi Arabia,SAU,SAU,0
Africa,Sudan,SDN,Sudan,SDN,SDN,0
Africa,South Sudan,SDS,South Sudan,SDS,SDS,0
Africa,Senegal,SEN,Senegal,SEN,SEN,0
Australia,Solomon Islands,SLB,Solomon Islands,SLB,SLB,0
Africa,Sierra Leone,SLE,Sierra Leone,SLE,SLE,0
South America,El Salvador,SLV,El Salvador,SLV,SLV,0
Africa,Somalia,SOM,Somalia,SOM,SOM,0
Europe,Republic of Serbia,SRB,Republic of Serbia,SRB,SRB,1
South America,Suriname,SUR,Suriname,SUR,SUR,0
Europe,Slovakia,SVK,Slovakia,SVK,SVK,1
Europe,Slovenia,SVN,Slovenia,SVN,SVN,0
Europe,Sweden,SWE,Sweden,SWE,SWE,0
Africa,Swaziland,SWZ,Swaziland,SWZ,SWZ,0
Asia,Syria,SYR,Syria,SYR,SYR,0
Africa,Chad,TCD,Chad,TCD,TCD,1
Africa,Togo,TGO,Togo,TGO,TGO,0
Asia,Thailand,THA,Thailand,THA,THA,0
Asia,Tajikistan,TJK,Tajikistan,TJK,TJK,1
Asia,Turkmenistan,TKM,Turkmenistan,TKM,TKM,1
Asia,East Timor,TLS,East Timor,TLS,TLS,0
South America,Trinidad and Tobago,TTO,Trinidad and Tobago,TTO,TTO,0
Africa,Tunisia,TUN,Tunisia,TUN,TUN,0
Europe,Turkey,TUR,Turkey,TUR,TUR,0
Asia,Taiwan,TWN,Taiwan,TWN,TWN,0
Africa,United Republic of Tanzania,TZA,United Republic of Tanzania,TZA,TZA,0
Africa,Uganda,UGA,Uganda,UGA,UGA,1
Europe,Ukraine,UKR,Ukraine,UKR,UKR,1
South America,Uruguay,URY,Uruguay,URY,URY,0
North America,United States of America,US1,United States of America,USA,USA,1
Asia,Uzbekistan,UZB,Uzbekistan,UZB,UZB,1
South America,Venezuela,VEN,Venezuela,VEN,VEN,1
Asia,Vietnam,VNM,Vietnam,VNM,VNM,0
Australia,Vanuatu,VUT,Vanuatu,VUT,VUT,0
Europe,Palestine,PSE,West Bank,WEB,PSE,0
Asia,Yemen,YEM,Yemen,YEM,YEM,0
Africa,South Africa,ZAF,South Africa,ZAF,ZAF,0
Africa,Zambia,ZMB,Zambia,ZMB,ZMB,0
Africa,Zimbabwe,ZWE,Zimbabwe,ZWE,ZWE,0
South America,Netherlands,NL1,Aruba,ABW,ABW,0
South America,United Kingdom,GB1,Anguilla,AIA,AIA,0
Europe,Finland,FI1,Aland,ALD,ALA,1
Europe,Andorra,AND,Andorra,AND,AND,0
Australia,United States of America,US1,American Samoa,ASM,ASM,0
Australia,Australia,AU1,Ashmore and Cartier Islands,ATC,Ashm,0
South America,Antigua and Barbuda,ATG,Antigua and Barbuda,ATG,ATG,0
Asia,Bahrain,BHR,Bahrain,BHR,BHR,0
Europe,France,FR1,Saint Barthelemy,BLM,BLM,1
South America,United Kingdom,GB1,Bermuda,BMU,BMU,0
South America,Barbados,BRB,Barbados,BRB,BRB,0
Australia,New Zealand,NZ1,Cook Islands,COK,COK,0
Africa,Comoros,COM,Comoros,COM,COM,0
Africa,Cape Verde,CPV,Cape Verde,CPV,CPV,0
South America,Netherlands,NL1,Curacao,CUW,CUW,0
South America,United Kingdom,GB1,Cayman Islands,CYM,CYM,0
South America,Dominica,DMA,Dominica,DMA,DMA,0
Europe,Denmark,DN1,Faroe Islands,FRO,FRO,0
Australia,Federated States of Micronesia,FSM,Federated States of Micronesia,FSM,FSM,0
Europe,Palestine,PSE,Gaza,GAZ,Gaza,0
Europe,United Kingdom,GB1,Guernsey,GGY,GGY,0
South America,Grenada,GRD,Grenada,GRD,GRD,0
Australia,United States of America,US1,Guam,GUM,GUM,0
Asia,China,CH1,Hong Kong S.A.R.,HKG,HKG,1
NA,Australia,AU1,Heard Island and McDonald Islands,HMD,HMD,0
Europe,United Kingdom,GB1,Isle of Man,IMN,IMN,0
Australia,Australia,AU1,Indian Ocean Territories,IOA,IOA,0
Europe,United Kingdom,GB1,British Indian Ocean Territory,IOT,IOT,0
Europe,United Kingdom,GB1,Jersey,JEY,JEY,0
Asia,Kashmir,KAS,Siachen Glacier,KAS,KAS,0
Australia,Kiribati,KIR,Kiribati,KIR,KIR,0
South America,Saint Kitts and Nevis,KNA,Saint Kitts and Nevis,KNA,KNA,0
South America,Saint Lucia,LCA,Saint Lucia,LCA,LCA,0
Europe,Liechtenstein,LIE,Liechtenstein,LIE,LIE,0
Asia,China,CH1,Macau S.A.R,MAC,MAC,1
Europe,France,FR1,Saint Martin,MAF,MAF,1
Europe,Monaco,MCO,Monaco,MCO,MCO,0
Asia,Maldives,MDV,Maldives,MDV,MDV,0
Australia,Marshall Islands,MHL,Marshall Islands,MHL,MHL,0
Europe,Malta,MLT,Malta,MLT,MLT,0
Australia,United States of America,US1,Northern Mariana Islands,MNP,MNP,0
South America,United Kingdom,GB1,Montserrat,MSR,MSR,0
Africa,Mauritius,MUS,Mauritius,MUS,MUS,1
Australia,Australia,AU1,Norfolk Island,NFK,NFK,0
Australia,New Zealand,NZ1,Niue,NIU,NIU,0
Australia,Nauru,NRU,Nauru,NRU,NRU,0
Australia,United Kingdom,GB1,Pitcairn Islands,PCN,PCN,0
Australia,Palau,PLW,Palau,PLW,PLW,NA
Australia,France,FR1,French Polynesia,PYF,PYF,0
Asia,Singapore,SGP,Singapore,SGP,SGP,0
Europe,United Kingdom,GB1,South Georgia and South Sandwich Islands,SGS,SGS,0
Africa,United Kingdom,GB1,Saint Helena,SHN,SHN,0
Europe,San Marino,SMR,San Marino,SMR,SMR,0
North America,France,FR1,Saint Pierre and Miquelon,SPM,SPM,1
Africa,Sao Tome and Principe,STP,Sao Tome and Principe,STP,STP,0
Europe,Netherlands,NL1,Sint Maarten,SXM,SXM,0
Africa,Seychelles,SYC,Seychelles,SYC,SYC,0
South America,United Kingdom,GB1,Turks and Caicos Islands,TCA,TCA,0
Australia,Tonga,TON,Tonga,TON,TON,0
Europe,Vatican,VAT,Vatican,VAT,VAT,0
South America,Saint Vincent and the Grenadines,VCT,Saint Vincent and the Grenadines,VCT,VCT,0
South America,United Kingdom,GB1,British Virgin Islands,VGB,VGB,0
South America,United States of America,US1,United States Virgin Islands,VIR,VIR,0
Australia,France,FR1,Wallis and Futuna,WLF,WLF,1
Australia,Samoa,WSM,Samoa,WSM,WSM,0
Australia,Tuvalu,TUV,Tuvalu,TUV,TUV,0
NA,France,FR1,French Guiana,GUF,NA,1
NA,France,FR1,Clipperton Island,CLP,CLP,1
Europe,Cyprus No Mans Area,CNM,Cyprus No Mans Area,CNM,CNM,0
Australia,Australia,AU1,Coral Sea Islands,CSI,CSI,0
Europe,United Kingdom,GB1,Dhekelia Sovereign Base Area,ESB,ESB,0
Europe,United Kingdom,GB1,Gibraltar,GIB,GIB,0
Europe,Kazakhstan,KAZ,Baykonur Cosmodrome,KAB,KAB,1
Asia,Korea No Mans Area,KNM,Korea No Mans Area,KNM,KNM,0
Africa,Somaliland,SOL,Somaliland,SOL,SOL,0
North America,United States of America,US1,United States Minor Outlying Islands,UMI,UMI,1
North America,Cuba,USG,US Naval Base Guantanamo Bay,USG,USG,0
Europe,United Kingdom,GB1,Akrotiri Sovereign Base Area,WSB,WSB,0