ID_ISO_A3	ID_ISO_A2	ID_FIPS	NAM_LABEL	NAME_PROP	NAME2	NAM_ANSI	ISO639P3code	ID	Name	Macroarea	Latitude	Longitude	glottocode	Countries	Family_ID	Language_level_ID	aes	category	classification	level	med	subclassification	Also spoken in	Alternate Names	Autonym	Classification	Country	Dialects	Language Development	Language Maps	Language Resources	Language Status	Language Use	Location	Other Comments	Population	Population Numeric	Typology	Writing	name
ppv-BRA	ppv-br	ppv-BR	Papavo	Papavo	PAPAVO	Papavô	ppv	papa1263	Papavô	South America	-9.5	-72	papa1263	BR	unat1236	NA	NA	Unattested	unat1236/pano1260	language	Wordlist or less	papa1263:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sic-PNG	sic-pg	sic-PP	Malinguat	Malinguat	MALINGUAT	Malinguat	sic	mali1288	Malinguat	Papunesia	NA	NA	mali1288	PG	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	mali1288:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tzb-MEX	tzb-mx	tzb-MX	Bachajon Tzeltal	Tzeltal, Bachajon	TZELTAL, BACHAJON	Tzeltal, Bachajón	tzb	tzel1255	Tzeltal, Bachajón	North America	NA	NA	tzel1255	MX	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	tzel1255:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ime-MRT	ime-mr	ime-MR	Imeraguen	Imeraguen	IMERAGUEN	Imeraguen	ime	imer1236	Imeraguen	Africa	18.37331	-16.34726	imer1236	MR	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	imer1236:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
qut-GTM	qut-gt	qut-GT	West Central Kiche	Kiche, West Central	KICHE, WEST CENTRAL	K'iche', West Central	qut	kich1266	K'iche', West Central	North America	NA	NA	kich1266	GT	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	kich1266:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
agi-IND	agi-in	agi-IN	Agariya	Agariya	AGARIYA	Agariya	agi	agar1251	Agariya	Eurasia	24.5024	82.297	agar1251	IN	unat1236	NA	not endangered	Unattested	unat1236/drav1252	language	Wordlist or less	agar1251:1	NA	Agaria, Agharia, Agoria	NA	Austro-Asiatic, Munda, North Munda, Kherwari	India	NA	Literacy rate in L2: 5%.	India, Map 3	OLAC resources in and about Agariya	6a (Vigorous).	Also use Hindi [hin].	Chhattisgarh state: Bilaspur district; Madhya Pradesh state: Mandla and Rewa districts, Maikal hills; Uttar Pradesh state: Agra, Mathura, and Mirzapur districts.	A Scheduled Caste in Uttar Pradesh. Chhattisgarhi [hne] L1 of tribe (Singh 1995b). Traditional religion, Hindu.	72,000 (2007).	72000	NA	NA	Agariya
cby-COL	cby-co	cby-CO	Carabayo	Carabayo	CARABAYO	Carabayo	cby	cara1245	Carabayo	South America	-1.7922	-69.9099	cara1245	CO	uncl1493	NA	extinct	Unclassifiable	uncl1493	language	Wordlist or less	cara1245:1	NA	Yuri, “Amazonas Macusa” (pej.)	NA	Unclassified	Colombia	NA	NA	Colombia	OLAC resources in and about Carabayo	6b (Threatened).	NA	Amazonas department: halfway between San Bernardo and Pure rivers. At least 3 long houses.	“Macusa” or “Macú”, savage, is arbitrarily applied to uncontacted groups.	150. Ethnic population: 200 (Crevels 2007).	150	NA	NA	Carabayo
acc-GTM	acc-gt	acc-GT	Cubulco Achi	Achi, Cubulco	ACHI, CUBULCO	Achi', Cubulco	acc	achi1258	Achi', Cubulco	North America	NA	NA	achi1258	GT	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	achi1258:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
yuu-RUS	yuu-ru	yuu-RS	Yugh	Yugh	YUGH	Yugh	yuu	yugh1240	Yugh (Retired)	Eurasia	60.87784	89.74791	yugh1240	RU	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	yugh1240:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
puc-IDN	puc-id	puc-ID	Punan Merap	Punan Merap	PUNAN MERAP	Punan Merap	puc	puna1274	Punan Merap	Papunesia	3.10143	116.251	puna1274	ID	book1242	NA	shifting	Bookkeeping	book1242	language	NA	puna1274:1	NA	NA	NA	Austronesian, Malayo-Polynesian, North Borneo, Rejang-Sajau	Indonesia	NA	NA	Indonesia, Kalimantan	OLAC resources in and about Punan Merap	6b (Threatened).	NA	Kalimantan Utara province: Malinau regency on upper Malinau river.	Distinct from Punan Merah [puf].	200 (Wurm and Hattori 1981).	200	NA	NA	Punan Merap
xhv-VNM	xhv-vn	xhv-VM	Khua	Khua	KHUA	Khua	xhv	khua1243	Khua	Eurasia	17.402	106.021	khua1243	LA;VN	book1242	NA	not endangered	Bookkeeping	book1242	language	Wordlist or less	khua1243:1	{u'View other languages of Laos': {}}	NA	NA	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Katuic, West Katuic, Bru	Viet Nam	NA	NA	Laos	OLAC resources in and about Khua	6a (Vigorous). Language of recognized ethnic group: Bru Van Kieu.	NA	West central; Quang Binh province, southeast of Giap Tam.	Part of the Bru Vân Kieu official ethnic community (74,506, 2009 census). Distinct from Cua [cua].	3,000 (Wurm and Hattori 1981). Total users in all countries: 5,000.	5000	NA	NA	Khua
urp-BRA	urp-br	urp-BR	Uru-Pa-In	Uru-Pa-In	URU-PA-IN	Uru-Pa-In	urp	urup1235	Uru-Pa-In	South America	-11.2946	-62.7226	urup1235	BR	uncl1493	NA	not endangered	Unclassifiable	uncl1493	language	NA	urup1235:1	NA	NA	NA	Tupian, Tupí-Guaraní, Kawahib	Brazil	NA	NA	Central Brazil	OLAC resources in and about Uru-Pa-In	6b (Threatened).	NA	Rondônia state: Ariquemes municipality.	No permanent contact.	200 (1995 SIL).	200	NA	NA	Uru-Pa-In
mgx-PNG	mgx-pg	mgx-PP	Omati	Omati	OMATI	Omati	mgx	omat1240	Omati	Papunesia	-7.39808	144.005	omat1240	PG	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	omat1240:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
xmo-BRA	xmo-br	xmo-BR	Morerebi	Morerebi	MOREREBI	Morerebi	xmo	more1262	Morerebi	South America	-8.66822	-61.3858	more1262	BR	unat1236	NA	threatened	Unattested	unat1236/tupi1286	language	NA	more1262:1	NA	NA	NA	Tupian, Tupí-Guaraní, Kawahib, Parintintin	Brazil	None known. Reportedly very similar linguistically to Amundava [adw], Tenharim [pah], and Uru-eu-wau-wau [urz]. A family group that has not lived with the Tenharim for many years, and does not want contact with outside culture.	NA	Central Brazil	OLAC resources in and about Morerebi	6b (Threatened).	NA	Amazonas state: Marmelos and Rio Preto; Mato Grosso state.	NA	100 (2000).	100	NA	NA	Morerebi
hva-MEX	hva-mx	hva-MX	San Luis Potosi Huastec	Huastec, San Luis Potosi	HUASTEC, SAN LUIS POTOSI	Huastec, San Luís Potosí	hva	huas1255	Huastec, San Luís Potosí	North America	NA	NA	huas1255	MX	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	huas1255:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
prb-THA	prb-th	prb-TH	Lua	Lua	LUA	Lua'	prb	luaa1235	Lua'	Eurasia	19.1198	101.217	luaa1235	LA;TH	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	luaa1235:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hir-BRA	hir-br	hir-BR	Himarima	Himarima	HIMARIMA	Himarimã	hir	hima1247	Himarimã	South America	-6.25217	-64.70047	hima1247	BR	unat1236	NA	not endangered	Unattested	unat1236/araw1289	language	Wordlist or less	hima1247:1	NA	NA	NA	Unclassified	Brazil	NA	NA	Western Central Brazil	OLAC resources in and about Himarimã	6b (Threatened).	Contact in 2007 with a mixed group may have included Himarimã speakers.	Amazonas state: Tapauá valley, near the Jamamadi and Jarawara.	Essentially uncontacted.	40.	40	NA	NA	Himarimã
yax-ZMB	yax-zm	yax-ZA	Yauma	Yauma	YAUMA	Yauma	yax	yaum1238	Yauma	Africa	-15.821495	21.881345	yaum1238	AO;ZM	book1242	NA	threatened	Bookkeeping	book1242	language	NA	yaum1238:1	{u'View other languages of Zambia': {}}	NA	NA	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Central, K, Ciokwe-Luchazi (K.16)	Angola	None known. Part of the Ngangela Subgroup.	Bible portions: 1978.	Angola	OLAC resources in and about Yauma	6a (Vigorous).	NA	Southeast, isolated enclave in Lucazi [lch] language area, Moxico province; Kuando Kubango Province, Kuando river area.	NA	17,100 (2000). Total users in all countries: 22,200.	22200	NA	Latin script [Latn], plans for future development using this script.	Yauma
xhv-LAO	xhv-la	xhv-LA	Khua	Khua	KHUA	Khua	xhv	khua1243	Khua	Eurasia	17.402	106.021	khua1243	LA;VN	book1242	NA	not endangered	Bookkeeping	book1242	language	Wordlist or less	khua1243:1	{u'View other languages of Laos': {}}	NA	NA	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Katuic, West Katuic, Bru	Viet Nam	NA	NA	Laos	OLAC resources in and about Khua	6a (Vigorous). Language of recognized ethnic group: Bru Van Kieu.	NA	West central; Quang Binh province, southeast of Giap Tam.	Part of the Bru Vân Kieu official ethnic community (74,506, 2009 census). Distinct from Cua [cua].	3,000 (Wurm and Hattori 1981). Total users in all countries: 5,000.	5000	NA	NA	Khua
bhx-IND	bhx-in	bhx-IN	Bhalay	Bhalay	BHALAY	Bhalay	bhx	bhal1245	Bhalay	Eurasia	21.2665	77.8268	bhal1245	IN	book1242	NA	threatened	Bookkeeping	book1242	language	Wordlist or less	bhal1245:1	NA	NA	NA	Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Southern, Unclassified	India	None known. Lexical similarity: 90% with Gowlan [goj].	NA	India, Map 6	OLAC resources in and about Bhalay	6a (Vigorous).	Also use Hindi [hin], Marathi [mar].	Madhya Pradesh state; Maharashtra state: Amravati district.	Bhalay probably an alternate spelling of Balahi (Balai), a Scheduled Caste found in Madhya Pradesh, Maharashtra, Rajasthan, and Uttar Pradesh. Traditional religion.	8,670 (1981 census).	8670	NA	Unwritten [Qaax].	Bhalay
slj-BRA	slj-br	slj-BR	Saluma	Saluma	SALUMA	Salumá	slj	salu1254	Salumá	South America	1.74782	-56.5107	salu1254	BR	book1242	NA	moribund	Bookkeeping	book1242	language	Wordlist or less	salu1254:1	NA	NA	NA	Cariban, Tiriyó	Brazil	NA	NA	Northeastern Brazil	OLAC resources in and about Salumá	8a (Moribund).	NA	Pará state: upper Anamu, Trombetas river source, along Suriname border.	Different from Enawené-Nawé [unk] in Mato Grosso. Live among the Trio [tri], losing their ethnic identity.	240 (2000).	240	NA	NA	Salumá
cke-GTM	cke-gt	cke-GT	Eastern Kaqchikel	Kaqchikel, Eastern	KAQCHIKEL, EASTERN	Kaqchikel, Eastern	cke	kaqc1273	Kaqchikel, Eastern	North America	NA	NA	kaqc1273	GT	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	kaqc1273:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
kex-IND	kex-in	kex-IN	Kukna	Kukna	KUKNA	Kukna	kex	kukn1238	Kukna	Eurasia	20.5657	73.5713	kukn1238	IN	book1242	NA	not endangered	Bookkeeping	book1242	language	Wordlist or less	kukn1238:1	NA	Kanara, Kanara Konkani, Kokna, Kokni	NA	Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Southern, Konkani	India	None known. Dhule District Kukna has 98%–100% intelligibility with Khandesi [khn].	Literacy rate in L1: 10%–30%. Some literacy work being done. Radio. NT: 1977–2002.	India, Map 6	OLAC resources in and about Kukna	3 (Wider communication).	Also use Khandesi [khn], especially a group of Kukna in Dhule District. Used as L2 by Khandesi [khn].	Gujarat state: Dangs and Valsad districts; Karnataka state: Dakshina Kannada (Kanara) district; Maharashtra state: Dhule, Nasik, and Thane districts, Dadra and Nagar Haveli; Rajasthan state.	May be the same as Dhanki [dhn]. Hindu.	211,000, all users. 111,000 (2001 census). 100,000 (1998).	211000	NA	Devanagari script [Deva]. Gujarati script [Gujr].	Kukna
hsf-MEX	hsf-mx	hsf-MX	Southeastern Huastec	Huastec, Southeastern	HUASTEC, SOUTHEASTERN	Huastec, Southeastern	hsf	huas1256	Huastec, Southeastern	North America	NA	NA	huas1256	MX	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	huas1256:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mms-GTM	mms-gt	mms-GT	Southern Mam	Mam, Southern	MAM, SOUTHERN	Mam, Southern	mms	mams1234	Mam, Southern	North America	NA	NA	mams1234	GT	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	mams1234:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tnf-AFG	tnf-af	tnf-AF	Tangshewi	Tangshewi	TANGSHEWI	Tangshewi	tnf	tang1374	Tangshewi	Eurasia	38.2267	71.2542	tang1374	AF	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	tang1374:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tie-SDN	tie-sd	tie-SU	Tingal	Tingal	TINGAL	Tingal	tie	ting1253	Tingal	Africa	12.1797	31.1244	ting1253	SD	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	ting1253:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tlw-IDN	tlw-id	tlw-ID	South Wemale	Wemale, South	WEMALE, SOUTH	Wemale, South	tlw	sout2892	South Wemale	Papunesia	-3.29102	128.547	sout2892	ID	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	sout2892:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
yri-COL	yri-co	yri-CO	Yari	Yari	YARI	Yarí	yri	yari1235	Yarí	South America	1.43017	-74.3715	yari1235	CO	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	yari1235:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tze-MEX	tze-mx	tze-MX	Chenalho Tzotzil	Tzotzil, Chenalho	TZOTZIL, CHENALHO	Tzotzil, Chenalhó	tze	tzot1263	Tzotzil, Chenalhó	North America	NA	NA	tzot1263	MX	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	tzot1263:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ixj-GTM	ixj-gt	ixj-GT	Chajul Ixil	Ixil, Chajul	IXIL, CHAJUL	Ixil, Chajul	ixj	ixil1252	Ixil, Chajul	North America	NA	NA	ixil1252	GT	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	ixil1252:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
stc-SLB	stc-sb	stc-BP	Natugu	Natugu	NATUGU	Natügu	stc	natu1249	Natügu (Retired)	Papunesia	-10.6771	165.835	natu1249	SB	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	natu1249:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ixi-GTM	ixi-gt	ixi-GT	Nebaj Ixil	Ixil, Nebaj	IXIL, NEBAJ	Ixil, Nebaj	ixi	ixil1253	Ixil, Nebaj	North America	NA	NA	ixil1253	GT	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	ixil1253:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pob-GTM	pob-gt	pob-GT	Western Poqomchi	Poqomchi, Western	POQOMCHI, WESTERN	Poqomchi', Western	pob	poqo1256	Poqomchi', Western	North America	NA	NA	poqo1256	GT	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	poqo1256:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bic-PNG	bic-pg	bic-PP	Bikaru	Bikaru	BIKARU	Bikaru	bic	bika1251	Bikaru-Bragge	Papunesia	-4.86	142.945	bika1251	PG	book1242	NA	shifting	Bookkeeping	book1242	language	Wordlist or less	bika1251:1	NA	Bugalu, Pikaru	NA	Sepik, Sepik Hill, Sanio	Papua New Guinea	NA	Literacy rate in L1: Below 5%. Literacy rate in L2: 5%–15%.	Papua New Guinea, Map 5	OLAC resources in and about Bikaru	8a (Moribund).	NA	East Sepik province: April river headwaters.	Nomadic. Traditional religion.	100 (Wurm and Hattori 1981).	100	NA	NA	Bikaru
fom-COD	fom-cd	fom-CG	Foma	Foma	FOMA	Foma	fom	foma1238	Foma	Africa	0.88032	24.3202	foma1238	CD	book1242	NA	not endangered	Bookkeeping	book1242	language	Wordlist or less	foma1238:1	NA	Fuma, Lifoma, Pseudo-Bambole	NA	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Northwest, C, Soko-Kele (C.56)	Democratic Republic of the Congo	NA	NA	Northern Democratic Republic of Congo	OLAC resources in and about Foma	6a (Vigorous).	Also use Lingala [lin].	Tshopo province: Congo river north side, upstream from Basoko.	NA	13,000 (2002).	13000	NA	NA	Foma
zrg-IND	zrg-in	zrg-IN	Mirgan	Mirgan	MIRGAN	Mirgan	zrg	mirg1238	Mirgan	Eurasia	23.43055	81.33599	mirg1238	IN	book1242	NA	not endangered	Bookkeeping	book1242	language	Wordlist or less	mirg1238:1	NA	Mirgami, Mirkan, Panika, Panka	NA	Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Eastern, Bengali-Assamese	India	Batasuna, Jagdal Pur, Kosagumuda, Kotpad, Nabarang Pur, Umerkote. Dialects have good intelligibility. Not functionally intelligible of Halbi [hlb]. Lexical similarity: 83%–95% among dialects.	Literacy rate in L2: 10% in Odia [ory].	India, Map 7	OLAC resources in and about Mirgan	6a (Vigorous).	Vigorous. Home, religion. Positive attitudes. Also use Desiya [dso], in Odisha. Also use Halbi [hlb], in Madhya Pradesh. Also use Hindi [hin], in Madhya Pradesh. Also use Odia [ory], in Odisha, but with low proficiency.	Chhattisgarh state: Bastar district; Odisha state: Koraput and Nabarangapur districts.	Declared a General Caste by the government. Divided into 2 groups, the larger Kabirpanthi and the smaller Sakta. Traditional religion, Christian, Hindu.	60,000 (1998 N. Lima).	60000	NA	Oriya (Odia) script [Orya]. Telugu script [Telu].	Mirgan
gti-COD	gti-cd	gti-CG	Gbati-ri	Gbati-ri	GBATI-RI	Gbati-ri	gti	gbat1238	Gbati-ri	Africa	2.98585	28.7911	gbat1238	CD	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	gbat1238:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
quj-GTM	quj-gt	quj-GT	Joyabaj Kiche	Kiche, Joyabaj	KICHE, JOYABAJ	K'iche', Joyabaj	quj	kich1267	K'iche', Joyabaj	North America	NA	NA	kich1267	GT	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	kich1267:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tgr-LAO	tgr-la	tgr-LA	Tareng	Tareng	TARENG	Tareng	tgr	tare1239	Tareng	Eurasia	15.4928	107.296	tare1239	LA;VN	book1242	NA	not endangered	Bookkeeping	book1242	language	Wordlist or less	tare1239:1	NA	Tariang	NA	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Katuic, East Katuic, Katu-Pacoh	Laos	NA	NA	Laos	OLAC resources in and about Tareng	6a (Vigorous).	NA	Xekong province: west of Viet Nam border, east of Kayong, north of Chavane and Thia.	Distinct from Talieng [tdf], which is North Bahnaric.	5,000 (Wurm and Hattori 1981).	5000	NA	NA	Tareng
tzs-MEX	tzs-mx	tzs-MX	San Andres Larrainzar Tzotzil	Tzotzil, San Andres Larrainzar	TZOTZIL, SAN ANDRES LARRAINZAR	Tzotzil, San Andrés Larrainzar	tzs	tzot1260	Tzotzil, San Andrés Larrainzar	North America	NA	NA	tzot1260	MX	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	tzot1260:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nmj-CAF	nmj-cf	nmj-CT	Ngombe	Ngombe	NGOMBE	Ngombe	nmj	ngom1265	Ngombe (Central African Republic)	Africa	3.90658	15.2154	ngom1265	CF	book1242	NA	shifting	Bookkeeping	book1242	language	Wordlist or less	ngom1265:1	NA	Bagando-Ngombe, Bangando-Ngombe, Ngombe-Kaka	NA	Niger-Congo, Atlantic-Congo, Volta-Congo, North, Adamawa-Ubangi, Ubangi, Gbaya-Manza-Ngbaka, Southwest	Central African Republic	None known. May be intelligible of Southwest Gbaya [gso], Bofi [bff], Bokoto [bdt], and Bangandu [ngd].	NA	Central African Republic	OLAC resources in and about Ngombe	6a (Vigorous).	NA	Mambéré-Kadéï prefecture: Gamboula subprefecture, Cameroon border.	Different from Ngombe [ngc] in Democratic Republic of the Congo.	11,600 (2010 census).	11600	NA	Unwritten [Qaax].	Ngombe
goj-IND	goj-in	goj-IN	Gowlan	Gowlan	GOWLAN	Gowlan	goj	gowl1242	Gowlan	Eurasia	21.5096	77.2647	gowl1242	IN	book1242	NA	not endangered	Bookkeeping	book1242	language	NA	gowl1242:1	NA	NA	NA	Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Southern, Unclassified	India	Dialects in Maharashtra and Karnataka reportedly different. May be more similar to Hindi [hin] (Central zone) than to Marathi [mar] (Southern zone).	NA	India, Map 6	OLAC resources in and about Gowlan	6a (Vigorous).	Home. Mixed attitudes. Positive attitudes toward Gowlan and Hindi [hin]. Only some want their children to learn Marathi [mar]. Also use Hindi [hin], but with low bilingualism in Chikli area.	Madhya Pradesh state: Hoshangabad district; Maharashtra state: Amravati district, and among Korku [kfq] people; some in north Karnataka state.	Surrounded by Korku. Belong to Gowli caste. Traditional religion, Christian.	20,200 (2000).	20200	NA	Unwritten [Qaax].	Gowlan
mst-PHL	mst-ph	mst-RP	Cataelano Mandaya	Mandaya, Cataelano	MANDAYA, CATAELANO	Mandaya, Cataelano	mst	cata1284	Cataelano Mandaya	Papunesia	7.77188	126.373	cata1284	PH	book1242	NA	NA	Bookkeeping	book1242	language	Wordlist or less	cata1284:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cdg-IND	cdg-in	cdg-IN	Chamari	Chamari	CHAMARI	Chamari	cdg	cham1329	Chamari	Eurasia	21.3532	79.6232	cham1329	IN	book1242	NA	not endangered	Bookkeeping	book1242	language	Wordlist or less	cham1329:1	NA	Chamar, Chambhar Boli, Chambhari	NA	Indo-European, Indo-Iranian, Indo-Aryan, Western Hindi, Unclassified	India	NA	NA	India, Map 7	OLAC resources in and about Chamari	6a (Vigorous).	NA	Madhya Pradesh and Maharastra states; Uttar Pradesh state: Lucknow.	Chamar is a caste name for skin and hide workers. Speakers throughout India (Singh 1995b). Traditional religion.	406,000 (2001 IMB).	406000	NA	Unwritten [Qaax].	Chamari
